cz1,"Měla by EU zamezit dvojí kvalitě potravin? - Tedy aby potraviny v rámci jedné značky a jednoho produktu byly vždy nabízeny ve stejném složení ve všech zemích Unie?","Should the EU prevent different quality of food of the same brand in different EU member states?"
cz2,"Měla by se migrační politika řešit na úrovni EU? - Tím se myslí bežná legální migrace, zejména cestování či stěhování za prací či studiem, nebo přistěhovalecká za účelem dlouhodobého a trvalého pobytu.","Should legal migration (e.g. labour migration or tourism) policies be decided on the EU-level?"
cz3,"Měla by EU mít společnou azylovou politiku? - Tzn. jak posuzovat žádosti uprchlíků, podle jakých pravidel, jak rozhodovat o azylu nebo dočasné ochraně, jaká práva by měli v rámci Schengenu - například cestování, práce, přístup k podpoře, apod. - po dobu azylu nebo ochrany + společné financování.","Should there be common EU migration policies?"
cz4,"Měly by ochranu vnějších hranic EU řešit členské státy společně?","Should the EU member states deal with the protection of the external border of the EU together?"
cz5,"Měly by státy EU vytvořit společnou armádu? - Např. ve formátu NATO nebo jako samostatný celek v rámci NATO.","Should the EU member states create a joint army?"
cz6,"Měla by se EU reformovat a obnovit hranice pro pohyb osob při současném zachování volného pohybu zboží, služeb, dat a kapitálu? - Tzn. zrušit Schengenský prostor a být pouze bezcelní obchodní unií.","Should the EU reinstate internal borders for the movement of people while keeping free movement of goods, services, data and capital?"
cz7,"Měla by se z EU stát federace? - Po vzoru např. USA","Should the EU become a federation?"
cz8,"Měla by EU mít jednotnou zahraniční politiku?","Should the EU have a unified foreign policy?"
cz9,"Měla by EU zasahovat do sociální politiky? - Např. sjednotit podporu v nezaměstnanosti, důchody, apod.","Should the EU interfere with the social policies [of the EU member states]?"
cz10,"Měla by EU omezit přístup k dotacím, aby na ně nedosáhly velké a ziskové společnosti?","Should the EU limit subsidies for large and profitable companies?"
cz11,"Měla by být v celé EU zavedena minimální mzda?","Should there be a minimum wage in the whole EU?"
cz12,"Měla by EU zavést nějakou celounijní daň? - Např. ve formě daně z příjmu firem, nebo jako část DPH? Tato daň by se stala součástí rozpočtu EU a snížila by platby států.","Should EU implement any EU-wide tax (e.g. corporate tax)?"
cz13,"Měla by EU řešit ekologické otázky? - Např. plasty, emise, kvalitu vody.","Should the EU deal with ecology?"
cz14,"Měla by ČR přijmout euro?","Should the Czech Republic adopt Euro?"
cz15,"Měla by ČR odejít z EU?","Should the Czech Republic leave the EU?"
