cz_koho_1,"V České republice by se mělo zavést Euro co nejdříve.","Should the Czech Republic adopt the euro as soon as possible?"
cz_koho_2,"Členské státy EU by měly být výrazně postiženy, pokud poruší pravidla EU o rozpočtových schodcích.","Should the EU member states be seriously afflicted if they break the EU rules on budget deficit?"
cz_koho_3,"Mělo by být povoleno pěstovat geneticky upravené plodiny v celé EU.","Should it be allowed to grow genetically modified plants in the whole EU?"
cz_koho_4,"EU by měla prosazovat výrazné snížení produkce CO2.","Should the EU advance substantial reduction of carbon emissions?"
cz_koho_5,"Měla by se snížit finanční pomoc ekonomicky slabším regionům EU.","Should financial aid to the economically weaker regions of the EU be reduced?"
cz_koho_6,"Měla by být zavedena daň z finančních transakcí.","Should a tax on financial transactions be implemented?"
cz_koho_7,"Měla by být možnost celoevropského referenda.","Should there be a possibility of a EU-wide referendum?"
cz_koho_8,"EU by měla omezit finanční dotace pro členskou zemi za porušování svobody tisku (médií).","Should the EU reduce financial subsidies to a member state that violates the feedom of press (media)?"
cz_koho_9,"EU by měla mít vlastní armádu.","Should the EU have its own army?"
cz_koho_10,"EU by měla zvýšit prostředky na zahraniční pomoc.","Should the EU increase the resources for international aid?"
cz_koho_11,"Žadatelé o azyl by měli být rozmístěni proporcionálně po celé EU.","Should asylum applicants be distributed proportionally among the whole EU?"
cz_koho_12,"EU by měla snížit své sankce proti Rusku.","Should the EU reduce its sanctions against Russia?"
cz_koho_13,"Všichni žadatelé o azyl, kteří se snaží překonat Středozemní moře, by měli být vrácení zpět.","Should all asylum applicants who try to cross the Mediterranean sea be brought back?"
cz_koho_14,"EU by měla podporovat členské státy v legalizaci manželství gayů a leseb.","Should the EU support the member states in legalizing gay and lesbian marriage?"
cz_koho_15,"EU by měla podporovat zavedení minimálního příjmu, který by mohl být různý pro různé země.","Should the EU support implementation of a minimal wage which could be different in each country?"
cz_koho_16,"Mělo by být těžší pro občany jiných států EU získat sociální podporu.","Should it be harder for the citizens of other EU member states to get social support?"
cz_koho_17,"Občané EU by měli mít možnost ve volbách do Evropského parlamentu volit i celoevropské listiny nadnárodních politických stran.","Should the citizens of the EU have the possibility to also vote for EU-wide super-national political parties in the European Parliament election?"
cz_koho_18,"Evropský parlament by měl mít pravomoc iniciovat zákon bez nutnosti oslovení Evropské komise.","Should the European Parliament have the right to initiate laws without the need to approach the European Commission?"
cz_koho_19,"Státy EU by měly mít zakázáno dotovat jadernou energetiku.","Should the EU member states be prohibited from subsidizing nuclear power?"
cz_koho_20,"Dovozní cla na zemědělské produkty z rozvojových zemí by měla být snížena.","Should tariffs on agricultural products from developing countries be reduced?"
cz_koho_21,"Předseda Evropské komise by měl být volen v přímých volbách občany EU","Should the chairman of the European Commission be elected in a direct election by the citizens of the EU?"
cz_koho_22,"Státy EU by měly více spolupracovat v rámci Společné zahraniční a bezpečnostní politiky.","Should the EU member states cooperate more on common foreign and security policy?"
cz_koho_23,"EU by měla zastavit přijímání dalších zemí.","Should the EU stop accession of more countries to the EU?"
cz_koho_24,"Měla by být zavedena jednotná minimální sazba pro daně z příjmů u firem v celé EU.","Should a common minimal rate for the company income tax be implemented in the whole EU?"
cz_koho_25,"Podmínky pro udělení azylu by měly být stejné ve všech členských státech EU","Should the asylum requirements be the same in all EU member states?"
cz_koho_26,"EU by měla vybírat evropské daně, které by nahradily existující příspěvky členských států.","Should the EU collect european taxes which would replace existing contributions of the member states?"
cz_koho_27,"EU by se měla stát federací.","Should the EU become a federation?"
cz_koho_28,"Složení Evropské komise by mělo odpovídat výsledkům eurovoleb.","Should the composition of the European Commission match the results of the European Parliament election?"
cz_koho_29,"Na program Erasmus by mělo jít více peněz než dnes.","Should there be more money given to the Erasmus program?"
cz_koho_30,"Sazby DPH by měly být sjednocené v celé EU.","Should the value-added tax rates be unified in the whole EU?"
cz_koho_31,"EU by měla přestat určovat podrobné normy pro potraviny.","Should the EU stop setting detailed regulation on food [e.g. food labelling regulation]?"
cz_koho_32,"Doba ochrany autorských děl by se měla v EU zkrátit.","Should the duration of copyright in the EU be shortened?"
cz_koho_33,"Země EU by měly mít možnost omezit zaměstnávání občanů z jiných zemí EU.","Should the EU member states have the possibility to restrict employment of citizens of other EU member states?"
cz_koho_34,"Dotování zemědělců z peněz EU by se mělo snížit.","Should agricultural subsidies be reduced?"
cz_koho_35,"Letecká doprava by měla být zdaněna stejně jako jiné druhy dopravy.","Should the air transport and other means of transport be taxed equally?"
cz_koho_36,"Mezinárodní firmy by měly platit daně z příjmu v zemi, kde příjem skutečně vznikl.","Should international companies pay their income tax in the country where the income was actually created?"
cz_koho_37,"Dotace pro velké agrární firmy by měly být omezeny.","Should subsidies to large agricultural companies be reduced?"
cz_koho_38,"Dvojí kvalita potravin by měla být zakázána.","Should dual quality of food be prohibited?"
cz_koho_39,"Nařízení o ochraně osobních dat GDPR by se mělo zrušit.","Should the data protection regulation (GDPR) be revoked?"
cz_koho_40,"Česká republika by měla vystoupit z EU.","Should the Czech Republic leave the EU?"
