same,a,b
1,cz_koho_1,de_5
1,cz_koho_2,de_25
1,cz_koho_3,de_8
1,cz_koho_4,de_2
1,cz_koho_5,de_20
1,cz_koho_6,de_7
1,cz_koho_7,de_1
1,cz_koho_8,de_19
1,cz_koho_9,de_3
1,cz_koho_10,de_11
1,cz_koho_11,de_34
1,cz_koho_12,de_30
1,cz_koho_13,de_29
1,cz_koho_14,de_24
1,cz_koho_15,de_13
1,cz_koho_16,de_9
1,cz_koho_17,de_10
0,cz_koho_18,
1,cz_koho_19,de_17
0,cz_koho_20,
0,cz_koho_21,
0,cz_koho_22,de_33
0,cz_koho_23,
1,cz_koho_24,de_23
0,cz_koho_25,
0,cz_koho_26,
1,cz_koho_27,de_37
0,cz_koho_28,
0,cz_koho_29,
0,cz_koho_30,
0,cz_koho_31,
0,cz_koho_32,
0,cz_koho_33,
0,cz_koho_34,
0,cz_koho_35,
0,cz_koho_36,
0,cz_koho_37,
0,cz_koho_38,
0,cz_koho_39,
1,cz_koho_40,de_16
